                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  10-02-2024 21:51:04:692:962        received response from 65429                                 -
   10-02-2024 21:51:04:693:86                         current pid                              65401
  10-02-2024 21:51:04:693:196               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:04:793:778        received response from 65401                                 -
  10-02-2024 21:51:04:793:938                         current pid                              65385
  10-02-2024 21:51:04:796:833               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:04:897:215        received response from 65385                                 -
  10-02-2024 21:51:04:897:306                         current pid                              65435
  10-02-2024 21:51:04:897:378               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:04:998:188        received response from 65435                                 -
  10-02-2024 21:51:04:998:301                         current pid                              65417
  10-02-2024 21:51:04:998:383               sent SIGUSR1 to 65417                                 -
     10-02-2024 21:51:05:99:2        received response from 65417                                 -
   10-02-2024 21:51:05:99:113                         current pid                              65429
   10-02-2024 21:51:05:99:197               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:05:199:815        received response from 65429                                 -
  10-02-2024 21:51:05:199:927                         current pid                              65401
   10-02-2024 21:51:05:200:14               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:05:300:393        received response from 65401                                 -
  10-02-2024 21:51:05:300:496                         current pid                              65385
  10-02-2024 21:51:05:300:599               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:05:401:194        received response from 65385                                 -
  10-02-2024 21:51:05:401:306                         current pid                              65435
  10-02-2024 21:51:05:401:387               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:05:502:210        received response from 65435                                 -
  10-02-2024 21:51:05:502:322                         current pid                              65417
  10-02-2024 21:51:05:502:405               sent SIGUSR1 to 65417                                 -
   10-02-2024 21:51:05:603:27        received response from 65417                                 -
  10-02-2024 21:51:05:603:128                         current pid                              65429
  10-02-2024 21:51:05:603:201               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:05:703:845        received response from 65429                                 -
  10-02-2024 21:51:05:703:954                         current pid                              65401
   10-02-2024 21:51:05:704:43               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:05:804:657        received response from 65401                                 -
  10-02-2024 21:51:05:804:762                         current pid                              65385
  10-02-2024 21:51:05:804:852               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:05:905:222        received response from 65385                                 -
  10-02-2024 21:51:05:905:333                         current pid                              65435
  10-02-2024 21:51:05:905:413               sent SIGUSR1 to 65435                                 -
    10-02-2024 21:51:06:6:235        received response from 65435                                 -
    10-02-2024 21:51:06:6:338                         current pid                              65417
    10-02-2024 21:51:06:6:411               sent SIGUSR1 to 65417                                 -
   10-02-2024 21:51:06:107:43        received response from 65417                                 -
  10-02-2024 21:51:06:107:146                         current pid                              65429
  10-02-2024 21:51:06:107:221               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:06:207:863        received response from 65429                                 -
  10-02-2024 21:51:06:207:975                         current pid                              65401
   10-02-2024 21:51:06:208:59               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:06:308:690        received response from 65401                                 -
  10-02-2024 21:51:06:308:794                         current pid                              65385
  10-02-2024 21:51:06:308:867               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:06:409:501        received response from 65385                                 -
  10-02-2024 21:51:06:409:604                         current pid                              65435
  10-02-2024 21:51:06:409:679               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:06:510:519        received response from 65435                                 -
  10-02-2024 21:51:06:510:621                         current pid                              65417
  10-02-2024 21:51:06:510:709               sent SIGUSR1 to 65417                                 -
   10-02-2024 21:51:06:611:45        received response from 65417                                 -
  10-02-2024 21:51:06:611:129                         current pid                              65429
  10-02-2024 21:51:06:611:202               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:06:711:585        received response from 65429                                 -
  10-02-2024 21:51:06:711:717                         current pid                              65401
  10-02-2024 21:51:06:711:798               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:06:812:401        received response from 65401                                 -
  10-02-2024 21:51:06:812:506                         current pid                              65385
  10-02-2024 21:51:06:812:581               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:06:912:958        received response from 65385                                 -
   10-02-2024 21:51:06:913:51                         current pid                              65435
  10-02-2024 21:51:06:913:131               sent SIGUSR1 to 65435                                 -
   10-02-2024 21:51:07:13:972        received response from 65435                                 -
    10-02-2024 21:51:07:14:75                         current pid                              65417
   10-02-2024 21:51:07:14:162               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:07:114:780        received response from 65417                                 -
  10-02-2024 21:51:07:114:881                         current pid                              65429
  10-02-2024 21:51:07:114:955               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:07:215:341        received response from 65429                                 -
  10-02-2024 21:51:07:215:450                         current pid                              65401
  10-02-2024 21:51:07:215:532               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:07:316:169        received response from 65401                                 -
  10-02-2024 21:51:07:316:278                         current pid                              65385
  10-02-2024 21:51:07:316:372               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:07:416:760        received response from 65385                                 -
  10-02-2024 21:51:07:416:862                         current pid                              65435
  10-02-2024 21:51:07:416:934               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:07:517:221        received response from 65435                                 -
  10-02-2024 21:51:07:517:324                         current pid                              65417
  10-02-2024 21:51:07:517:411               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:07:617:758        received response from 65417                                 -
  10-02-2024 21:51:07:617:852                         current pid                              65429
    10-02-2024 21:51:07:618:7               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:07:718:405        received response from 65429                                 -
  10-02-2024 21:51:07:718:492                         current pid                              65401
  10-02-2024 21:51:07:718:566               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:07:819:165        received response from 65401                                 -
  10-02-2024 21:51:07:819:275                         current pid                              65385
  10-02-2024 21:51:07:819:357               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:07:919:721        received response from 65385                                 -
  10-02-2024 21:51:07:919:814                         current pid                              65435
  10-02-2024 21:51:07:919:894               sent SIGUSR1 to 65435                                 -
   10-02-2024 21:51:08:20:725        received response from 65435                                 -
   10-02-2024 21:51:08:20:830                         current pid                              65417
   10-02-2024 21:51:08:20:903               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:08:121:442        received response from 65417                                 -
  10-02-2024 21:51:08:121:551                         current pid                              65429
  10-02-2024 21:51:08:121:645               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:08:222:253        received response from 65429                                 -
  10-02-2024 21:51:08:222:362                         current pid                              65401
  10-02-2024 21:51:08:222:445               sent SIGUSR1 to 65401                                 -
   10-02-2024 21:51:08:323:65        received response from 65401                                 -
  10-02-2024 21:51:08:323:169                         current pid                              65385
  10-02-2024 21:51:08:323:255               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:08:423:603        received response from 65385                                 -
  10-02-2024 21:51:08:423:691                         current pid                              65435
  10-02-2024 21:51:08:423:763               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:08:524:584        received response from 65435                                 -
  10-02-2024 21:51:08:524:688                         current pid                              65417
  10-02-2024 21:51:08:524:760               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:08:625:149        received response from 65417                                 -
  10-02-2024 21:51:08:625:234                         current pid                              65429
  10-02-2024 21:51:08:625:318               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:08:725:717        received response from 65429                                 -
  10-02-2024 21:51:08:725:812                         current pid                              65401
  10-02-2024 21:51:08:725:891               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:08:826:459        received response from 65401                                 -
  10-02-2024 21:51:08:826:561                         current pid                              65385
  10-02-2024 21:51:08:826:633               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:08:926:971        received response from 65385                                 -
   10-02-2024 21:51:08:927:72                         current pid                              65435
  10-02-2024 21:51:08:927:143               sent SIGUSR1 to 65435                                 -
   10-02-2024 21:51:09:27:964        received response from 65435                                 -
    10-02-2024 21:51:09:28:67                         current pid                              65417
   10-02-2024 21:51:09:28:139               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:09:128:769        received response from 65417                                 -
  10-02-2024 21:51:09:128:871                         current pid                              65429
  10-02-2024 21:51:09:128:959               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:09:229:576        received response from 65429                                 -
  10-02-2024 21:51:09:229:688                         current pid                              65401
  10-02-2024 21:51:09:229:770               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:09:330:580        received response from 65401                                 -
  10-02-2024 21:51:09:330:686                         current pid                              65385
  10-02-2024 21:51:09:330:759               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:09:431:122        received response from 65385                                 -
  10-02-2024 21:51:09:431:232                         current pid                              65435
  10-02-2024 21:51:09:431:306               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:09:532:128        received response from 65435                                 -
  10-02-2024 21:51:09:532:244                         current pid                              65417
  10-02-2024 21:51:09:532:339               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:09:632:842        received response from 65417                                 -
  10-02-2024 21:51:09:632:947                         current pid                              65429
   10-02-2024 21:51:09:633:33               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:09:733:650        received response from 65429                                 -
  10-02-2024 21:51:09:733:765                         current pid                              65401
  10-02-2024 21:51:09:733:846               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:09:834:465        received response from 65401                                 -
  10-02-2024 21:51:09:834:572                         current pid                              65385
  10-02-2024 21:51:09:834:672               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:09:934:969        received response from 65385                                 -
   10-02-2024 21:51:09:935:54                         current pid                              65435
  10-02-2024 21:51:09:935:126               sent SIGUSR1 to 65435                                 -
   10-02-2024 21:51:10:35:935        received response from 65435                                 -
    10-02-2024 21:51:10:36:43                         current pid                              65417
   10-02-2024 21:51:10:36:119               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:10:136:492        received response from 65417                                 -
  10-02-2024 21:51:10:136:586                         current pid                              65429
  10-02-2024 21:51:10:136:681               sent SIGUSR1 to 65429                                 -
   10-02-2024 21:51:10:237:95        received response from 65429                                 -
  10-02-2024 21:51:10:237:191                         current pid                              65401
  10-02-2024 21:51:10:237:272               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:10:337:775        received response from 65401                                 -
  10-02-2024 21:51:10:337:874                         current pid                              65385
  10-02-2024 21:51:10:337:983               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:10:438:567        received response from 65385                                 -
  10-02-2024 21:51:10:438:675                         current pid                              65435
  10-02-2024 21:51:10:438:753               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:10:539:578        received response from 65435                                 -
